,제품명,브랜드,가격,상품정보,썸네일
22,[응급스팟] 아이소이 아크니닥터 1st 스피디 스팟 14ml 기획 (14ml+응급패드 4매),아이소이,"24,800","['내용물의 용량 또는 중량 응급스팟:14ml / 응급패드 2매 *2, 총 4매', '제품 주요 사양 모든 피부용 (민감 피부 사용 가능)', '사용기한(또는 개봉 후 사용기간) 제조일자로부터 3년 개봉 후 6개월 사용권장', '사용방법 부드러운 세안으로 모공을 깨끗이 한 후 트러블 부위에 스포이드로 제형을 떨어뜨리고 면봉으로 살살 흡수시켜주세요.', '화장품제조업자,화장품책임판매업자 및 맞춤형화장품판매업자 다비드화장품/(주)자연인', '제조국 대한민국', '화장품법에 따라 기재해야 하는 모든 성분 정제수, 에탄올, 부틸렌글라이콜, 잔탄검, 폴리글리세릴-10라우레이트, 글리세린, 다마스크장미꽃오일(불가리아 공인), 카프릴릭/카프릭트라이글리세라이드, 티트리잎오일, 흰버드나무잎추출물, 올리브나무잎추출물, 스페인감초뿌리추출물, 쇠뜨기추출물, 유채추출물, 약모밀추출물, 병풀추출물, 베타-글루칸, 밤껍질추출물, 붉나무충영추출물, 황금추출물, 모란뿌리추출물, 시트로넬올, 제라니올', '기능성 화장품 식품의약품안전처 심사필 여부 해당사항 없음', '사용할 때의 주의사항 1) 화장품 사용 시 또는 화장품 사용 후 직사광선에 의하여 사용부위가 붉은 반점,', '부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우에는 전문의 등과 상담할 것', '', '2) 상처가 있는 부위 등에는 사용을 자제할 것', '', '3) 보관 및 취급 시 주의사항', '가) 어린이의 손이 닿지 않는 곳에 보관할 것', '나) 직사광선을 피해서 보관할 것', '품질보증기준 관련법 및 소비자 분쟁해결 규정에 따름', '소비자상담 전화번호 아이소이 / 1800-9100']","['./prdimgs/page_14_prd_22_thumb1.jpg', './prdimgs/page_14_prd_22_thumb2.jpg', './prdimgs/page_14_prd_22_thumb3.jpg', './prdimgs/page_14_prd_22_thumb4.jpg']"
23,메디큐브 슈퍼시카 앰플 40ml,메디큐브,"28,000","['내용물의 용량 또는 중량 40ml | 1.35 fl. oz.', '제품 주요 사양 모든 피부용', '사용기한(또는 개봉 후 사용기간) 제조일로부터 1,095일', '사용방법 토너 사용 후 본품을 적당량 덜어 피부 결을 따라 골고루 펴 발라 줍니다.', '화장품제조업자,화장품책임판매업자 및 맞춤형화장품판매업자 (주)노디너리 / 주식회사 에이피알', '제조국 대한민국', '화장품법에 따라 기재해야 하는 모든 성분 *병풀추출물(60.7%), 정제수, 글리세린, 부틸렌글라이콜, 메틸프로판다이올, 글리세레스-26, 1,2-헥산다이올, 베타인, 감초전초추출물, 카보머, 트로메타민, 글리세레스-25피씨에이아이소스테아레이트, 에틸헥실글리세린, 다이포타슘글리시리제이트, 알란토인, 글리세릴아크릴레이트/아크릴릭애씨드코폴리머, 다이프로필렌글라이콜, 판테놀, 치자추출물, 아데노신, 프로판다이올, 폴리글리세릴-10올리에이트, *병풀뿌리추출물(264ppm), *병풀잎추출물(264ppm), 황련추출물, 펜틸렌글라이콜, 티트리잎수, *마데카소사이드(45ppm), 바이오사카라이드검-1, 티트리추출물, *아시아틱애씨드(1.2ppm), *마데카식애씨드(0.9ppm), *아시아티코사이드(0.9ppm), 엑토인, *Super Cica 7™ 30,000ppm', '기능성 화장품 식품의약품안전처 심사필 여부 화장품법에 따른 기능성 화장품 심사(또는 보고)를 필함', '사용할 때의 주의사항 1. 화장품 사용 시 또는 사용 후 직사광선에 의하여 사용부위가 붉은 반점, 부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우 전문의 등과 상담할 것', '2. 상처가 있는 부위 등에는 사용을 자제할 것', '3. 보관 및 취급 시의 주의사항', '1) 어린이의 손이 닿지 않는 곳에 보관할 것', '2) 직사광선을 피해서 보관할 것', '4. 눈에 들어갔을 때에는 즉시 씻어낼 것', '*사용 전에 반드시 사용법 및 사용 시의 주의사항을 숙지하신 후 사용하십시오.', '품질보증기준 본 상품에 이상이 있을 경우 공정거래위원회 고시 ‘소비자 분쟁 해결 기준’에 의해 보상해드립니다.', '소비자상담 전화번호 1577-0719']","['./prdimgs/page_14_prd_23_thumb1.jpg', './prdimgs/page_14_prd_23_thumb2.jpg', './prdimgs/page_14_prd_23_thumb3.jpg']"
24,잇츠스킨 파워 10 포뮬라 브이씨 이펙터 잡티케어 30ml,잇츠스킨,"15,400","['내용물의 용량 또는 중량 30ml', '제품 주요 사양 모든 피부 타입', '사용기한(또는 개봉 후 사용기간) 제조일로부터 36개월 / 개봉 후 12개월', '사용방법 적당량(스포이드 2~3회)을 취해 얼굴 및 목 등에 두드리듯이 부드럽게 골고루 펴 바르고 흡수시켜 줍니다.', '화장품제조업자,화장품책임판매업자 및 맞춤형화장품판매업자 ㈜잇츠한불 / ㈜잇츠한불', '제조국 대한민국', '화장품법에 따라 기재해야 하는 모든 성분 토마토추출물, 정제수, 글리세린, 부틸렌글라이콜, 나이아신아마이드, 인도멀구슬나무잎추출물, 소듐하이알루로네이트, 인도멀구슬나무꽃추출물, 울금뿌리추출물, 홀리바질잎추출물, 센티드제라늄꽃오일, 소듐아스코빌포스페이트, 아스코빅애씨드, 참산호말추출물, 폴리글리세릴-4카프레이트, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 폴리아크릴레이트크로스폴리머-6, 1,2-헥산다이올, 소듐시트레이트, 카프릴릴/카프릴글루코사이드, 폴리글리세릴-10라우레이트, 소듐파이테이트, 시트릭애씨드, 폴리글리세릴-10올리에이트, t-부틸알코올, 오렌지껍질오일, 필리핀오렌지껍질오일, 콘민트오일, 리모넨', '기능성 화장품 식품의약품안전처 심사필 여부 화장품법에 따른 기능성 화장품 심사(또는 보고)를 필함', '사용할 때의 주의사항 가. 화장품 사용 시 또는 사용 후 직사광선에 의하여 사용부위가 붉은 반점, 부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우에는 전문의 등과 상담할 것', '나. 상처가 있는 부위 등에는 사용을 자제할 것', '다. 보관 및 취급 시 주의사항', '1) 어린이의 손이 닿지 않는 곳에 보관할 것', '2) 직사광선을 피해서 보관할 것', '2. 그 밖에 화장품의 안전정보와 관련하여 화장품의 유형별ㆍ함유 성분별로 식품의약품안전처장이 정하여 고시하는 사항', '품질보증기준 본 상품에 이상이 있을 경우, 공정거래위원회 고시 “소비자분쟁해결기준”에 의해 보상해 드립니다.', '소비자상담 전화번호 080-020-0186']","['./prdimgs/page_15_prd_0_thumb1.jpg', './prdimgs/page_15_prd_0_thumb2.jpg']"
25,잇츠스킨 파워 10 포뮬라 지에프 이펙터 쏙쏙수분 30ml,잇츠스킨,"15,400","['내용물의 용량 또는 중량 30ml', '제품 주요 사양 모든 피부 타입', '사용기한(또는 개봉 후 사용기간) 제조일로부터 36개월 / 개봉 후 12개월', '사용방법 적당량(스포이드 2~3회)을 취해 얼굴 및 목 등에 두드리듯이 부드럽게 골고루 펴 바르고 흡수시켜 줍니다.', '화장품제조업자,화장품책임판매업자 및 맞춤형화장품판매업자 ㈜잇츠한불 / ㈜잇츠한불', '제조국 대한민국', '화장품법에 따라 기재해야 하는 모든 성분 은행잎수, 글리세린, 펜틸렌글라이콜, 메틸글루세스-20, 메틸프로판다이올, 정제수, 소듐하이알루로네이트, 인도멀구슬나무잎추출물, 인도멀구슬나무꽃추출물, 아이비고드열매추출물, 하이드록시프로필트라이모늄하이알루로네이트, 가지열매추출물, 알로에베라꽃추출물, 하이드롤라이즈드소듐하이알루로네이트, 홀리바질잎추출물, 울금뿌리추출물, 참산호말추출물, 소듐아세틸레이티드하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 하이알루로닉애씨드, 소듐하이알루로네이트크로스폴리머, 포타슘하이알루로네이트, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 카프릴릴/카프릴글루코사이드, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 폴리글리세릴-10라우레이트, 트로메타민, 1,2-헥산다이올, 폴리글리세릴-10올리에이트, 소듐파이테이트, 부틸렌글라이콜, 서양배추출물, 다마스크장미꽃수, 오리스뿌리추출물, 멜론추출물, 서양송악잎/줄기추출물, 단향오일, 불가리스쑥오일', '기능성 화장품 식품의약품안전처 심사필 여부 해당사항 없음', '사용할 때의 주의사항 1. 화장품 사용 시 또는 사용 후 직사광선에 의하여 사용부위가 붉은 반점, 부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우 전문의 등과 상담할 것', '2. 상처가 있는 부위 등에는 사용을 자제할 것', '3. 보관 및 취급 시의 주의사항', '가. 어린이의 손이 닿지 않는 곳에 보관할 것', '나. 직사광선을 피해서 보관할 것', '품질보증기준 본 상품에 이상이 있을 경우, 공정거래위원회 고시 “소비자분쟁해결기준”에 의해 보상해 드립니다.', '소비자상담 전화번호 080-020-0186']","['./prdimgs/page_15_prd_1_thumb1.jpg', './prdimgs/page_15_prd_1_thumb2.jpg']"
26,잇츠스킨 파워 10 포뮬라 엘아이 이펙터 감초줄렌 30ml(AD),잇츠스킨,"15,400","['내용물의 용량 또는 중량 30ml', '제품 주요 사양 모든 피부 타입', '사용기한(또는 개봉 후 사용기간) 제조일로부터 36개월 / 개봉 후 12개월', '사용방법 적당량(스포이드 2~3회)을 취해 얼굴 및 목 등에 두드리듯이 부드럽게 골고루 펴 바르고 흡수시켜 줍니다.', '화장품제조업자,화장품책임판매업자 및 맞춤형화장품판매업자 ㈜잇츠한불 / ㈜잇츠한불', '제조국 대한민국', '화장품법에 따라 기재해야 하는 모든 성분 스페인감초뿌리추출물, 정제수, 프로판다이올, 글리세린, 베타인, 마트리카리아꽃추출물, 소듐하이알루로네이트, 다이포타슘글리시리제이트, 구아이아줄렌, 베타-글루칸, 폴리글루타믹애씨드, 글리세레스-26, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 부틸렌글라이콜, 카프릴릴/카프릴글루코사이드, 1,2-헥산다이올, 폴리글리세릴-10라우레이트, 다이프로필렌글라이콜, 잔탄검, 다이소듐이디티에이, 폴리글리세릴-10올리에이트, 멕시칸주니퍼오일, 다마스크장미꽃오일, 광곽향오일, 베티버뿌리오일', '기능성 화장품 식품의약품안전처 심사필 여부 해당사항 없음', '사용할 때의 주의사항 1. 화장품 사용 시 또는 사용 후 직사광선에 의하여 사용부위가 붉은 반점, 부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우 전문의 등과 상담할 것', '2. 상처가 있는 부위 등에는 사용을 자제할 것', '3. 보관 및 취급 시의 주의사항', '가. 어린이의 손이 닿지 않는 곳에 보관할 것', '나. 직사광선을 피해서 보관할 것', '품질보증기준 본 상품에 이상이 있을 경우, 공정거래위원회 고시 “소비자분쟁해결기준”에 의해 보상해 드립니다.', '소비자상담 전화번호 080-020-0186']","['./prdimgs/page_15_prd_2_thumb1.jpg', './prdimgs/page_15_prd_2_thumb2.jpg']"
27,[더보이즈 현재PICK]앰플엔 세라마이드샷 보습장벽앰플 30ml,앰플엔,"11,900","['내용물의 용량 또는 중량 30ml', '제품 주요 사양 모든 피부용', '사용기한(또는 개봉 후 사용기간) 제조일로부터 36개월, 개봉후 12개월', '사용방법 토너 다음 단계에서 적당량을 덜어 얼굴 전체에 마사지하듯 펴 발라 줍니다.', '화장품제조업자,화장품책임판매업자 및 맞춤형화장품판매업자 제조업자:㈜코리아나화장품, 책임판매업자:㈜코리아나화장품', '제조국 대한민국', '화장품법에 따라 기재해야 하는 모든 성분 정제수, 부틸렌글라이콜, 글리세린, 프로판다이올, 다이글리세린, 베타-글루칸, 1,2-헥산다이올, 나이아신아마이드, 베타인, 메틸글루세스-20, 트레할로오스, 옥틸도데칸올, 아데노신, 연교추출물, 하이드로제네이티드레시틴, 세라마이드3, 알지닌, 알란토인, 유채스테롤, 콜레스테롤, 세라마이드2, 세라마이드1, 자일리틸글루코사이드, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 무수자일리톨, 잔탄검, 카보머, 자일리톨, 카프릴릴글라이콜, 마카다미아씨오일, 카프릴릭/카프릭트라이글리세라이드, 피토스테릴/베헤닐/옥틸도데실라우로일글루타메이트, 폴리글리세릴-10올리에이트, 세틸포스페이트, 다이소듐이디티에이', '기능성 화장품 식품의약품안전처 심사필 여부 화장품법에 따른 기능성 화장품 심사(또는 보고)를 필함', '사용할 때의 주의사항 가. 화장품 사용 시 또는 사용 후 직사광선에 의하여 사용부위가 붉은 반점, 부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우에는 전문의 등과 상담할 것', '나. 상처가 있는 부위 등에는 사용을 자제할 것', '다. 보관 및 취급 시 주의사항', '1) 어린이의 손이 닿지 않는 곳에 보관할 것', '2) 직사광선을 피해서 보관할 것', ""품질보증기준 본 제품에 이상이 있을 경우, 공정거래위원회 고시 '소비자분쟁해결기준'에 의거 보상해 드립니다."", '소비자상담 전화번호 080-022-5013']","['./prdimgs/page_15_prd_3_thumb1.jpg', './prdimgs/page_15_prd_3_thumb2.jpg', './prdimgs/page_15_prd_3_thumb3.jpg']"
28,랩시리즈 데일리 레스큐 에너자이징 에센스 150ml,랩시리즈,"89,000","['내용물의 용량 또는 중량 150ml', '제품 주요 사양 모든 피부 타입용', '사용기한(또는 개봉 후 사용기간) 제조일로부터 36개월', '사용방법 매일 아침과 저녁, 깨끗한 얼굴과 목 부위에 부드럽게 발라준다.', '화장품제조업자,화장품책임판매업자 및 맞춤형화장품판매업자 랩시리즈/이엘씨에이한국(유)', '제조국 영국', '화장품법에 따라 기재해야 하는 모든 성분 정제수 , 변성알코올 , 부틸렌글라이콜 , 폴리소르베이트40 , 인삼추출물 , 대나무추출물 , 얼룩조릿대잎추출물 , 소듐하이알루로네이트 , 글리세린 , 트레할로스 , 완두콩추출물 , 녹차추출물 , 비스-피이지-18메칠에텔디메칠실란 , 아미노프로필아스코빌포스페이트 , 희첨추출물 , 메칠글루세스-20 , 아세틸헥사펩타이드-8 , 슈크로오스 , 카보머 , 카페인 , 토코페릴아세테이트 , 카프릴릴글라이콜 , 소듐하이드록사이드 , 헥실렌글라이콜 , 글루코사민에이치씨엘 , 폴리쿼터늄-51 , 향료 , 디소듐이디티에이 , 비에이치티 , 페녹시에탄올 , 자색40a1호 , 청색1호 [ILN43614]', '기능성 화장품 식품의약품안전처 심사필 여부 화장품법에 따른 기능성 화장품 심사(또는 보고)를 필함', '사용할 때의 주의사항 1) 화장품 사용 시 또는 사용 후 직사광선에 의하여 사용부위가 붉은 반점, 부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우 전문의 등과 상담할 것', '', '2) 상처가 있는 부위 등에는 사용을 자제할 것', '', '3) 보관 및 취급 시의 주의사항', '가) 어린이의 손이 닿지 않는 곳에 보관할 것', '나) 직사광선을 피해서 보관할 것', '품질보증기준 관련법 및 소비자 분쟁해결 기준에 따름', '소비자상담 전화번호 랩 시리즈 고객관리지원팀 : 02-6971-3224']",['./prdimgs/page_15_prd_4_thumb1.jpg']
29,[비건파우더] 스킨푸드 미나리 스매싱 파우더 15ml,스킨푸드,"16,000","['내용물의 용량 또는 중량 15ml', '제품 주요 사양 민감성 복합성 지성', '사용기한(또는 개봉 후 사용기간) 사용기한: 제조일로부터 36개월', '사용방법 스킨케어 마지막 단계에서 용기를 흔들지 않고 캡에 결합된 실리콘 팁을 사용하여 바닥에 가라앉아 있는 파우더를 찍어 스팟 부위에 얹듯이 발라줍니다.', '화장품제조업자,화장품책임판매업자 및 맞춤형화장품판매업자 화장품제조업자 : ㈜아이피어리스 / 화장품책임판매업자 : (주)스킨푸드', '제조국 대한민국', '화장품법에 따라 기재해야 하는 모든 성분 에탄올, 미나리추출물, 정제수, 징크옥사이드, 티타늄디옥사이드, 글리세린, 티트리잎추출물, 나이아신아마이드, 병풀추출물, 살비아잎추출물, 마트리카리아추출물, 다이포타슘글리시리제이트, 살리실릭애씨드, 알란토인, 에틸헥실글리세린, 판테놀. 1,2-헥산다이올, 프로판다이올, 인도멀구슬나무잎추출물, 티트리잎오일, 올리브오일, 광곽향오일, 인도멀구슬나무꽃추출물, 포스포리피드, 라반딘오일, 살비아오일, 불가리스쑥오일, 오렌지껍질오일, 도금양열매추출물, 류코노스톡/무발효여과물, 판토테닉애씨드, 리모넨, 리날룰', '기능성 화장품 식품의약품안전처 심사필 여부 해당사항 없음', '사용할 때의 주의사항 가. 화장품 사용 시 또는 사용 후 직사광선에 의하여 사용부위가 붉은 반점, 부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우에는 전문의 등과 상담할 것', '나. 상처가 있는 부위 등에는 사용을 자제할 것', '다. 보관 및 취급 시 주의사항', '1) 어린이의 손이 닿지 않는 곳에 보관할 것', '2) 직사광선을 피해서 보관할 것', '품질보증기준 본 상품에 이상이 있을 경우, 공정거래위원회 고시 “소비자분쟁해결기준”에 의해 보상해 드립니다.', '소비자상담 전화번호 080-012-7878']",['./prdimgs/page_15_prd_5_thumb1.jpg']
30,얼트루 아임쏘리포마이스킨 릴렉싱 앰플 30ml,얼트루,"25,000","['내용물의 용량 또는 중량 30ml', '제품 주요 사양 모든 피부 타입', '사용기한(또는 개봉 후 사용기간) 제조일로부터 3년', '사용방법 아침, 저녁 세안 후 스킨으로 피부 결을 정돈한 뒤 적당량을 덜어 얼굴 전체에 골고루 펴 발라 흡수시켜 줍니다.', '화장품제조업자,화장품책임판매업자 및 맞춤형화장품판매업자 (주)한국콜마 / (주)얼트루', '제조국 대한민국', '화장품법에 따라 기재해야 하는 모든 성분 병풀잎수, 글리세린, 메틸글루세스-20, 폴리글리세린-3, 1,2-헥산다이올, 펜틸렌글라이콜, 프로판다이올, 병풀추출물, 무화과추출물, 다시마추출물, 한련초잎추출물, 버지니아풍년화추출물, 티트리잎추출물, 약모밀추출물, 국화추출물, 연꽃꽃추출물, 라벤더꽃추출물, 마돈나백합꽃추출물, 서양수수꽃다리추출물, 장미꽃추출물, 녹차수, 베르가모트오일, 하이드로제네이티드레시틴, C12-14파레스-12, 다이프로필렌글라이콜, 알란토인, 마트리카리아꽃수, 잔탄검, 프룩토올리고사카라이드, 부틸렌글라이콜, 베타-글루칸, 하이드롤라이즈드하이알루로닉애씨드, 세라마이드엔피, 카보머, 팔미토일펜타펩타이드-4, 에틸헥실글리세린, 리모넨, 리날룰', '기능성 화장품 식품의약품안전처 심사필 여부 해당사항 없음', '사용할 때의 주의사항 1) 화장품 사용 시 또는 사용 후 직사광선에 의하여 사용부위가 붉은 반점, 부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우 전문의 등과 상담할 것', '2) 상처가 있는 부위 등에는 사용을 자제할 것', '3) 보관 및 취급 시의 주의사항', '가) 어린이의 손이 닿지 않는 곳에 보관할 것', '나) 직사광선을 피해서 보관할 것', '품질보증기준 본 제품은 공정거래위원회고시 소비자분쟁해결 기준에 의거 교환 또는 보상 받을 수 있습니다.', '소비자상담 전화번호 02-3443-0402']",['./prdimgs/page_15_prd_6_thumb1.jpg']
31,메디큐브 제로 모공 원데이 세럼 30ml,메디큐브,"36,400","['내용물의 용량 또는 중량 30ml', '제품 주요 사양 모든피부용', '사용기한(또는 개봉 후 사용기간) 930일', '사용방법 토너 사용 후 본품을 적당량 덜어 피부 결을 따라 골고루 펴 발라 가볍게 두드리듯 흡수시켜 줍니다.', '화장품제조업자,화장품책임판매업자 및 맞춤형화장품판매업자 (주)노디너리/(주)에이피알', '제조국 대한민국', '화장품법에 따라 기재해야 하는 모든 성분 정제수, 글루코노락톤, 메틸프로판다이올, 글리세린, 프로판다이올, 트로메타민, 폴리글리세린-3, 나이아신아마이드, 1,2-헥산다이올, 시트릭애씨드, 다이메티콘, 부틸렌글라이콜, C12-14파레스-12, 하이드록시에틸셀룰로오스, 살리실릭애씨드, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 소듐폴리아크릴로일다이메틸타우레이트, 레시틴, 알란토인, 락틱애씨드, 글라이콜릭애씨드, 에틸헥실글리세린, 아데노신, 덱스트린, 인디고추출물, 소듐하이알루로네이트, 하이알루로닉애씨드, 소듐시트레이트, 원추리꽃추출물, 치자추출물, 하이드롤라이즈드하이알루로닉애씨드, 하이드롤라이즈드소듐하이알루로네이트, 소듐하이알루로네이트크로스폴리머, 트라이소듐포스페이트, 물망초꽃/잎/줄기추출물, 펜틸렌글라이콜, 하이드록시프로필트라이모늄하이알루로네이트, 소듐아세틸레이티드하이알루로네이트, 병풀추출물, 마데카소사이드, 락토바실러스발효용해물,', '기능성 화장품 식품의약품안전처 심사필 여부 화장품법에 따른 기능성 화장품 심사(또는 보고)를 필함', '사용할 때의 주의사항 1. 화장품 사용 시 또는 사용 후 직사광선에 의하여 사용부위가 붉은 반점, 부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우 전문의 등과 상담할 것', '2. 상처가 있는 부위 등에는 사용을 자제할 것', '3. 보관 및 취급 시의 주의사항', '1) 어린이의 손이 닿지 않는 곳에 보관할 것', '2) 직사광선을 피해서 보관할 것', '4. 알파-하이드록시애씨드(a-hydroxyacid, AHA) 함유 제품', '1) 햇빛에 대한 피부의 감수성을 증가시킬 수 있으므로 자외선 차단제를 함께 사용할 것', '2) 일부 시험 사용하여 피부 이상을 확인할 것', '5. 만 3세 이하 어린이에게는 사용하지 말 것', '*사용 전에 반드시 사용법 및 사용 시의 주의사항을 숙지하신 후 사용하십시오.', '품질보증기준 본 상품에 이상이 있을 경우 공정거래위원회 고시 ‘소비자 분쟁 해결 기준’에 의해 보상해드립니다.', '소비자상담 전화번호 1577-0719']","['./prdimgs/page_15_prd_7_thumb1.jpg', './prdimgs/page_15_prd_7_thumb2.jpg', './prdimgs/page_15_prd_7_thumb3.jpg', './prdimgs/page_15_prd_7_thumb4.jpg']"
32,제이엠솔루션 릴리프 약산성 약쑥 앰플 50ml,제이엠솔루션,"38,000","['내용물의 용량 또는 중량 50ml', '제품 주요 사양 모든 피부타입', '사용기한(또는 개봉 후 사용기간) 제조일로부터 3년', '사용방법 토너로 가볍게 피부를 정돈한 후, 적당량을 덜어 얼굴 전체에 부드럽게 펴 발라주세요', '화장품제조업자,화장품책임판매업자 및 맞춤형화장품판매업자 한국콜마(주) / (주)지피클럽', '제조국 대한민국', '화장품법에 따라 기재해야 하는 모든 성분 쑥잎추출물(913,481.7 ppm), 메틸프로판다이올, 1,2-헥산다이올, 글리세린, 자작나무수액, 소듐하이알루로네이트, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 알란토인, 판테놀, 트로메타민, 잔탄검, 다이소듐이디티에이, 에틸헥실글리세린', '기능성 화장품 식품의약품안전처 심사필 여부 해당사항 없음', '사용할 때의 주의사항 1) 화장품 사용 시 또는 사용 후 직사광선에 의하여 사용부위가 붉은 반점, 부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우 전문의 등과 상담할 것', '2) 상처가 있는 부위 등에는 사용을 자제할 것', '3) 보관 및 취급 시의 주의사항', '가) 어린이의 손이 닿지 않는 곳에 보관할 것', '나) 직사광선을 피해서 보관할 것', ""품질보증기준 본 제품에 이상이 있을 경우 공정거래위원회 고시 '소비자 분쟁 해결 기준'에 의해 보상해 드립니다."", '소비자상담 전화번호 1566-9658']",['./prdimgs/page_15_prd_8_thumb1.jpg']
33,그라펜 데일리 선 에센스 52g,그라펜,"25,000","['내용물의 용량 또는 중량 52g', '제품 주요 사양 제품 상세페이지 참조', '사용기한(또는 개봉 후 사용기간) 제조일로부터 36개월', '사용방법 본 품 적당량을 취해 피부에 골고루 펴 바른다.', '화장품제조업자,화장품책임판매업자 및 맞춤형화장품판매업자 ㈜코스메카코리아/㈜세이션', '제조국 대한민국', '화장품법에 따라 기재해야 하는 모든 성분 정제수, 다이부틸아디페이트, 부틸렌글라이콜, 부틸옥틸살리실레이트, 폴리실리콘-15, 실리카, 디에칠아미노하이드록시벤조일헥실벤조에이트, C12-15알킬벤조에이트, 에칠헥실트리아존, 이소아밀p-메톡시신나메이트, 아크릴레이트코폴리머, 세테아릴올리베이트, 빙하수, 비즈왁스, 솔비탄올리베이트, 소듐스테아로일락틸레이트, 글리세릴스테아레이트, 세테아릴알코올, 카프릴릴글라이콜, 포타슘세틸포스페이트, 솔비탄스테아레이트, 에틸헥실글리세린, 향료, 코코-글루코사이드, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 트로메타민, 1,2-헥산다이올, 글리세릴카프릴레이트, 글루코오스, 베타인, 약모밀추출물, 판테놀, 녹차추출물, 쇠비름추출물, 멘톡시프로판다이올, 크랜베리추출물, 유칼립투스잎추출물, 편백수, 하이드롤라이즈드하이알루로닉애씨드, 리날룰, 리모넨', '기능성 화장품 식품의약품안전처 심사필 여부 화장품법에 따른 기능성 화장품 심사(또는 보고)를 필함', '사용할 때의 주의사항 1. 화장품 사용 시 또는 사용 후 직사광선에 의하여 사용부위가 붉은 반점, 부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우 전문의 등과 상담할 것', '2. 상처가 있는 부위 등에는 사용을 자제할 것', '3. 보관 및 취급시의 주의사항', '가) 어린이의 손이 닿지 않는 곳에 보관할 것', '나) 직사광선을 피해서 보관할 것', '품질보증기준 공정거래위원회 고시 품목별 소비자분쟁 해결기준에 따름', '소비자상담 전화번호 1566-9252']",['./prdimgs/page_15_prd_9_thumb1.jpg']
34,리우젤 하이드 레이팅 페이스 모이스처 라이저 3.38oz (100ml),리우젤,"41,800","['내용물의 용량 또는 중량 3.38oz/100ml', '제품 주요 사양 모이스처크림', '사용기한(또는 개봉 후 사용기간) 제조일로부터 3년 / 개봉 후 1년', '사용방법 적당량을 손바닥에 덜어내어, 제형이 바르기좋게 손바닥에 골고루 문지른 후 피부에 발라 줍니다.', '화장품제조업자,화장품책임판매업자 및 맞춤형화장품판매업자 REUZEL INC / (주)유레카종합실업', '제조국 미국', '화장품법에 따라 기재해야 하는 모든 성분 정제수,글리세린,세틸알코올,스테아릴알코올,페녹시에탄올,다이메티콘,글리세릴스테아레이트,피이지-100스테아레이트,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,아미노메틸프로판올,에틸헥실글리세린,토코페릴아세테이트,시어버터,카페인,살구씨오일,포트마리골드꽃추출물', '기능성 화장품 식품의약품안전처 심사필 여부 해당사항 없음', '사용할 때의 주의사항 1)화장품사용시 또는 사용 후 직사광선에 의하여 사용부위가 붉은반점, 부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우 전문의 등과 상담할 것', '2)상처가 있는 부위 등에는 사용을 자제할 것', '3)보관 및 취급시의 주의사항', '가)어린이의 손이 닿지 않는 곳에 보관할 것', '나) 직사광선을 피해서 보관할 것', '', '- 여름과 겨울철 배송과정에서 상품의 제형이 일시적으로 변할 수 있으나, 이는 제품의 이상이 아니므로 곧 사용하실 수 있습니다.', '- 개인마다 제품에 대한 민감도가 다르므로 두피에 사용하시기 전, 팔 안쪽에 알레르기 테스트를 권장합니다.', '품질보증기준 제품 이상 시 공정거래위원회 고시 소비자분쟁해결기준에 의거 보상합니다.', '소비자상담 전화번호 080-006-9000']","['./prdimgs/page_15_prd_10_thumb1.jpg', './prdimgs/page_15_prd_10_thumb2.jpg', './prdimgs/page_15_prd_10_thumb3.jpg']"
